Fold	Epoch	Time	RMSE_tr	R2_tr	MAE_te	RMSE_te	R2_te	PCC_te	SCC_te
1	22	2248.1	0.6842	0.8006	1.1993	1.5305	-0.0655	0.2898	0.263
1	23	2350.6	0.6785	0.8039	1.2146	1.5555	-0.1006	0.2907	0.2653
1	24	2452.7	0.6742	0.8063	1.2213	1.5645	-0.1134	0.2876	0.2704
1	25	2555.5	0.6693	0.8092	1.2229	1.5557	-0.1009	0.3044	0.278
1	26	2657.3	0.6672	0.8103	1.226	1.5642	-0.1129	0.2988	0.2719
1	27	2760.0	0.662	0.8133	1.2591	1.6121	-0.1821	0.2885	0.2632
1	28	2862.4	0.658	0.8155	1.2436	1.589	-0.1485	0.2861	0.2656
1	29	2964.6	0.6548	0.8173	1.2302	1.5671	-0.117	0.2873	0.2599
1	30	3067.1	0.6303	0.8307	1.2382	1.5802	-0.1358	0.2907	0.2618
1	31	3169.6	0.6241	0.834	1.2257	1.5689	-0.1197	0.286	0.2634
1	32	3271.7	0.6201	0.8361	1.2496	1.5952	-0.1574	0.2859	0.2581
1	33	3374.6	0.6162	0.8382	1.2565	1.6043	-0.1708	0.2892	0.2608
1	34	3476.6	0.6127	0.84	1.2508	1.5994	-0.1636	0.2774	0.2543
1	35	3578.6	0.6107	0.8411	1.2596	1.6093	-0.178	0.28	0.2545
1	36	3681.5	0.6068	0.8431	1.2574	1.6034	-0.1694	0.2864	0.2607
1	37	3784.1	0.6037	0.8447	1.2666	1.6196	-0.1932	0.2638	0.2417
1	38	3886.5	0.6006	0.8463	1.2388	1.5828	-0.1395	0.2852	0.2585
1	39	3988.5	0.5986	0.8474	1.2525	1.6019	-0.1672	0.2738	0.2468
1	40	4090.9	0.582	0.8557	1.279	1.635	-0.216	0.2677	0.2417
1	41	4193.3	0.5775	0.8579	1.2722	1.6273	-0.2045	0.275	0.2468
1	42	4295.5	0.5748	0.8592	1.2605	1.6128	-0.1832	0.273	0.2468
1	43	4397.9	0.5726	0.8603	1.2636	1.6148	-0.1861	0.2727	0.242
1	44	4500.2	0.5698	0.8617	1.2698	1.6216	-0.1962	0.2695	0.2405
1	45	4602.4	0.5673	0.8629	1.2792	1.6357	-0.217	0.277	0.2448
1	46	4703.5	0.5654	0.8638	1.2858	1.6449	-0.2306	0.2632	0.2332
1	47	4805.9	0.5628	0.865	1.2796	1.6357	-0.217	0.2681	0.2379
1	48	4908.4	0.5606	0.8661	1.2754	1.6346	-0.2153	0.2694	0.2415
1	49	5010.6	0.5592	0.8668	1.2836	1.6382	-0.2206	0.2698	0.2368
1	50	5112.4	0.5478	0.8721	1.292	1.6516	-0.2408	0.2669	0.2349
2	1	102.2	1.4473	0.115	0.9914	1.2976	0.1651	0.4342	0.3696
2	2	204.9	1.207	0.3845	1.0763	1.3769	0.06	0.3902	0.3147
2	3	307.8	1.0518	0.5326	1.0752	1.3851	0.0488	0.3497	0.292
2	4	409.1	0.9912	0.5849	1.1756	1.491	-0.1023	0.2686	0.1891
2	5	511.0	0.9562	0.6137	1.1053	1.4246	-0.0062	0.3262	0.2513
2	6	612.1	0.922	0.6408	1.186	1.5191	-0.1442	0.319	0.2417
2	7	713.7	0.9019	0.6563	1.1156	1.4391	-0.0268	0.3118	0.2498
2	8	816.0	0.8829	0.6706	1.1754	1.5046	-0.1225	0.2827	0.2077
2	9	918.2	0.8695	0.6806	1.1467	1.4651	-0.0643	0.2814	0.1989
2	10	1020.3	0.8075	0.7245	1.1808	1.5108	-0.1318	0.2625	0.1824
2	11	1122.3	0.7904	0.736	1.1671	1.4999	-0.1154	0.2796	0.2012
2	12	1224.7	0.7813	0.7421	1.1654	1.4983	-0.113	0.2605	0.1864
2	13	1327.0	0.7738	0.7471	1.1781	1.5165	-0.1403	0.2741	0.1969
2	14	1430.1	0.7685	0.7505	1.1735	1.5128	-0.1347	0.2732	0.2032
2	15	1532.4	0.7614	0.7551	1.165	1.4996	-0.115	0.2546	0.1736
2	16	1635.3	0.7547	0.7594	1.1781	1.5169	-0.1409	0.2417	0.1629
2	17	1737.9	0.7484	0.7634	1.1509	1.484	-0.0919	0.2469	0.1696
2	18	1841.2	0.7403	0.7685	1.2933	1.6539	-0.3562	0.2417	0.1646
2	19	1942.3	0.735	0.7717	1.2294	1.5792	-0.2364	0.2226	0.1447
2	20	2045.1	0.7004	0.7927	1.2177	1.5627	-0.2109	0.2307	0.1544
2	21	2147.7	0.6899	0.7989	1.2251	1.5739	-0.2282	0.2304	0.1528
2	22	2250.4	0.6828	0.803	1.1954	1.5348	-0.1679	0.2285	0.1526
2	23	2353.5	0.6834	0.8027	1.1608	1.4917	-0.1032	0.2254	0.1485
2	24	2455.7	0.6771	0.8063	1.2282	1.5785	-0.2353	0.2169	0.1385
2	25	2557.6	0.6714	0.8096	1.182	1.5272	-0.1564	0.2272	0.1542
2	26	2659.8	0.6675	0.8117	1.2271	1.5759	-0.2313	0.2076	0.1283
2	27	2762.8	0.663	0.8143	1.2438	1.6055	-0.278	0.2236	0.1535
2	28	2865.5	0.6599	0.816	1.2585	1.6136	-0.2909	0.2048	0.1322
2	29	2966.9	0.6556	0.8184	1.2537	1.6162	-0.2952	0.2042	0.1307
2	30	3068.7	0.6325	0.831	1.2341	1.5906	-0.2544	0.2038	0.1297
2	31	3171.3	0.6253	0.8348	1.2538	1.615	-0.2932	0.2071	0.1336
2	32	3273.9	0.6227	0.8362	1.242	1.6021	-0.2727	0.2017	0.1306
2	33	3376.3	0.6208	0.8372	1.2299	1.5937	-0.2593	0.197	0.1212
2	34	3478.7	0.6162	0.8396	1.2498	1.6134	-0.2907	0.2026	0.1318
2	35	3581.1	0.6145	0.8404	1.2602	1.625	-0.3092	0.2	0.1293
2	36	3683.3	0.6107	0.8424	1.2739	1.6399	-0.3333	0.1889	0.1168
2	37	3785.3	0.6079	0.8439	1.2365	1.5993	-0.2682	0.1954	0.126
2	38	3887.7	0.6053	0.8452	1.2674	1.6337	-0.3233	0.198	0.1283
2	39	3990.2	0.6027	0.8465	1.2483	1.6166	-0.2957	0.1978	0.131
2	40	4091.3	0.5869	0.8545	1.2762	1.6486	-0.3476	0.1889	0.1201
2	41	4192.2	0.5825	0.8566	1.2784	1.6548	-0.3577	0.184	0.117
2	42	4293.7	0.5795	0.8581	1.2804	1.6568	-0.361	0.1847	0.1172
2	43	4396.1	0.5785	0.8586	1.2808	1.6578	-0.3626	0.1819	0.1147
2	44	4498.7	0.5765	0.8596	1.287	1.6668	-0.3775	0.1841	0.1164
2	45	4601.1	0.5737	0.8609	1.2958	1.6753	-0.3915	0.1846	0.1173
2	46	4704.0	0.5722	0.8616	1.2878	1.6666	-0.3771	0.1794	0.1104
2	47	4804.3	0.5708	0.8623	1.2789	1.6572	-0.3616	0.1813	0.1157
2	48	4906.6	0.5694	0.863	1.3035	1.6858	-0.409	0.1807	0.1134
2	49	5008.7	0.5666	0.8644	1.2913	1.6727	-0.3873	0.1815	0.1173
2	50	5110.3	0.5556	0.8696	1.298	1.6817	-0.4022	0.1738	0.1091
3	1	101.6	1.314	0.2428	1.2354	1.6892	-0.0217	0.2105	0.2395
3	2	203.7	1.0918	0.4772	1.2131	1.6595	0.0139	0.2253	0.2467
3	3	304.3	1.0116	0.5512	1.2449	1.6992	-0.0339	0.1528	0.1817
3	4	406.6	0.9604	0.5955	1.3135	1.7605	-0.1097	0.1661	0.1694
3	5	509.1	0.921	0.628	1.2957	1.733	-0.0754	0.1899	0.1977
3	6	611.5	0.8925	0.6507	1.3473	1.7949	-0.1536	0.1618	0.1685
3	7	713.6	0.8703	0.6678	1.2625	1.7005	-0.0354	0.2001	0.2062
3	8	816.0	0.8582	0.677	1.293	1.7332	-0.0756	0.1812	0.1888
3	9	918.1	0.8425	0.6887	1.2757	1.7197	-0.0589	0.2042	0.2134
3	10	1020.4	0.786	0.7291	1.3253	1.7845	-0.1402	0.1812	0.1921
3	11	1121.4	0.7704	0.7397	1.3151	1.767	-0.1179	0.1751	0.1841
3	12	1223.9	0.7641	0.7439	1.3148	1.7694	-0.121	0.1768	0.1844
3	13	1326.2	0.7573	0.7485	1.3401	1.8067	-0.1688	0.1819	0.1886
3	14	1428.8	0.7529	0.7514	1.3502	1.8102	-0.1733	0.1832	0.1894
3	15	1530.6	0.7452	0.7565	1.3365	1.8006	-0.1609	0.1626	0.1768
3	16	1633.1	0.7385	0.7608	1.3382	1.8005	-0.1607	0.1668	0.1776
3	17	1735.0	0.7335	0.7641	1.3971	1.8684	-0.25	0.1564	0.1682
3	18	1836.5	0.7278	0.7677	1.3366	1.799	-0.1589	0.1662	0.1797
3	19	1938.9	0.7222	0.7713	1.3588	1.8157	-0.1805	0.1614	0.1692
3	20	2041.5	0.6899	0.7913	1.3757	1.8423	-0.2153	0.1599	0.1725
3	21	2143.8	0.6842	0.7947	1.3634	1.8244	-0.1918	0.1634	0.1748
3	22	2245.5	0.6786	0.7981	1.3409	1.7904	-0.1477	0.161	0.174
3	23	2347.8	0.6745	0.8005	1.3989	1.8689	-0.2506	0.1602	0.1743
3	24	2449.4	0.6703	0.8029	1.3877	1.8476	-0.2223	0.1648	0.1768
3	25	2552.4	0.667	0.8049	1.4004	1.8574	-0.2353	0.1568	0.1725
3	26	2654.2	0.6646	0.8063	1.4027	1.873	-0.2561	0.1534	0.1706
3	27	2756.6	0.661	0.8084	1.3636	1.8131	-0.1771	0.1604	0.1754
