Fold	Epoch	Time	RMSE_tr	R2_tr	MAE_te	RMSE_te	R2_te	PCC_te	SCC_te
1	22	2084.0	1.0096	0.6819	1.4391	1.8347	-0.2686	0.1831	0.1773
1	23	2179.2	1.0072	0.6834	1.4628	1.8652	-0.3112	0.175	0.1676
1	24	2274.4	1.0046	0.6851	1.4693	1.8747	-0.3246	0.171	0.1663
1	25	2369.1	1.0005	0.6876	1.4718	1.8792	-0.331	0.185	0.1789
1	26	2463.6	0.9984	0.6889	1.5127	1.927	-0.3994	0.1698	0.1638
1	27	2558.6	0.9973	0.6896	1.4829	1.8905	-0.347	0.1639	0.1605
1	28	2654.0	0.9941	0.6916	1.4884	1.8973	-0.3567	0.165	0.1594
1	29	2748.9	0.9909	0.6935	1.482	1.8945	-0.3526	0.1678	0.1658
1	30	2844.1	0.97	0.7064	1.5172	1.942	-0.4214	0.1633	0.1596
1	31	2939.0	0.9674	0.7079	1.5157	1.9383	-0.4159	0.1572	0.1549
1	32	3034.2	0.9654	0.7092	1.4983	1.9224	-0.3928	0.1567	0.1549
1	33	3129.4	0.9637	0.7102	1.5134	1.9397	-0.418	0.1575	0.1564
1	34	3224.8	0.9617	0.7114	1.5464	1.9836	-0.4829	0.1573	0.1534
1	35	3319.9	0.9593	0.7128	1.5135	1.9373	-0.4145	0.1599	0.1563
1	36	3415.1	0.9577	0.7138	1.5087	1.941	-0.4199	0.1566	0.1564
1	37	3510.4	0.9622	0.711	1.5106	1.9396	-0.4178	0.1495	0.1475
1	38	3605.3	0.9543	0.7158	1.515	1.9396	-0.4178	0.1533	0.1531
1	39	3699.8	0.952	0.7172	1.5216	1.9538	-0.4387	0.1567	0.1556
1	40	3795.2	0.9409	0.7237	1.5292	1.9616	-0.4502	0.1501	0.1506
1	41	3890.6	0.9383	0.7252	1.541	1.9771	-0.4733	0.1508	0.1517
1	42	3985.9	0.9363	0.7264	1.5622	2.0094	-0.5217	0.1492	0.1496
1	43	4080.9	0.9354	0.727	1.5335	1.9736	-0.4679	0.1475	0.1498
1	44	4176.4	0.9335	0.728	1.5456	1.9871	-0.4881	0.1468	0.147
1	45	4271.3	0.9328	0.7285	1.5404	1.9858	-0.4862	0.1507	0.1539
1	46	4366.0	0.9316	0.7291	1.5263	1.9636	-0.4531	0.1484	0.1508
1	47	4461.3	0.9319	0.729	1.5608	2.0116	-0.5251	0.1512	0.1544
1	48	4556.7	0.9298	0.7302	1.5312	1.971	-0.4641	0.1504	0.1546
1	49	4652.4	0.9284	0.731	1.5235	1.9633	-0.4526	0.1524	0.1567
1	50	4747.6	0.9203	0.7357	1.5502	1.9965	-0.5023	0.1471	0.1505
2	1	95.0	1.6627	0.1201	1.3765	1.7336	0.0569	0.2957	0.3074
2	2	190.0	1.4161	0.3617	1.3492	1.7151	0.0769	0.3284	0.3385
2	3	285.4	1.3273	0.4393	1.3491	1.7362	0.054	0.3085	0.3251
2	4	380.5	1.2804	0.4782	1.3678	1.7789	0.007	0.2798	0.2961
2	5	475.2	1.2468	0.5052	1.4887	1.9239	-0.1615	0.2603	0.2746
2	6	568.9	1.2215	0.5251	1.4277	1.8338	-0.0553	0.278	0.2917
2	7	662.7	1.2069	0.5364	1.3918	1.7979	-0.0143	0.2591	0.278
2	8	757.8	1.1806	0.5564	1.4505	1.8589	-0.0844	0.2454	0.2568
2	9	853.1	1.1655	0.5676	1.4569	1.8637	-0.09	0.2921	0.3016
2	10	948.0	1.1007	0.6144	1.5749	2.0103	-0.2682	0.263	0.2734
2	11	1043.0	1.0876	0.6235	1.5365	1.9676	-0.2148	0.243	0.2567
2	12	1138.0	1.0779	0.6302	1.478	1.8979	-0.1304	0.2613	0.2718
2	13	1233.0	1.073	0.6336	1.5363	1.9672	-0.2143	0.2552	0.2653
2	14	1328.2	1.0626	0.6407	1.5364	1.9633	-0.2096	0.2608	0.2703
2	15	1422.9	1.0558	0.6452	1.5906	2.0309	-0.2943	0.2493	0.2631
2	16	1518.2	1.0499	0.6491	1.5674	2.0018	-0.2575	0.2541	0.2635
2	17	1612.7	1.0438	0.6532	1.4947	1.9211	-0.1581	0.2477	0.2601
2	18	1708.3	1.0411	0.655	1.5722	2.0041	-0.2604	0.2527	0.2636
2	19	1803.6	1.0304	0.6621	1.5095	1.9326	-0.172	0.2568	0.2672
2	20	1899.4	0.9959	0.6843	1.5173	1.9471	-0.1897	0.2404	0.2586
2	21	1993.3	0.9871	0.6899	1.5686	2.0069	-0.2639	0.2371	0.2525
2	22	2088.3	0.983	0.6925	1.5772	2.0184	-0.2784	0.2442	0.2577
2	23	2183.5	0.9769	0.6962	1.5618	1.9993	-0.2543	0.2399	0.2564
2	24	2278.2	0.9751	0.6974	1.5688	2.0088	-0.2663	0.2345	0.2521
2	25	2373.5	0.9715	0.6996	1.6555	2.1081	-0.3945	0.2419	0.255
2	26	2468.4	0.9701	0.7005	1.552	1.9875	-0.2395	0.2324	0.2492
2	27	2563.5	0.9662	0.7029	1.5299	1.964	-0.2104	0.2285	0.2455
2	28	2658.7	0.9629	0.7049	1.5385	1.9819	-0.2326	0.2068	0.2273
2	29	2753.6	0.9593	0.7071	1.5467	1.9826	-0.2334	0.2252	0.2425
2	30	2849.4	0.9373	0.7204	1.583	2.0243	-0.2859	0.2213	0.2376
2	31	2944.8	0.9318	0.7236	1.6393	2.0897	-0.3704	0.2195	0.236
2	32	3039.8	0.9309	0.7242	1.589	2.0341	-0.2984	0.214	0.2327
2	33	3135.0	0.9288	0.7254	1.6044	2.0489	-0.3173	0.2184	0.2384
2	34	3230.2	0.9253	0.7275	1.5859	2.0305	-0.2938	0.2173	0.2363
2	35	3325.7	0.9246	0.7279	1.5981	2.0436	-0.3106	0.2198	0.2369
2	36	3419.9	0.9211	0.73	1.5892	2.0332	-0.2972	0.2138	0.2294
2	37	3515.3	0.9206	0.7303	1.6147	2.0626	-0.335	0.2182	0.2371
2	38	3609.8	0.9168	0.7325	1.6012	2.051	-0.32	0.2054	0.2233
2	39	3704.6	0.9152	0.7334	1.5692	2.0131	-0.2717	0.2137	0.2324
